,,,Standard,,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
Al-Ahli,36,30,67,413,167,40.4,13.77,5.57,0.14,0.35,,8,8
Al-Hilal,30,30,66,491,189,38.5,16.37,6.3,0.11,0.29,,12,15
Al-Ittihad,40,30,44,450,150,33.3,15,5,0.09,0.27,,3,5
Al-Nassr,31,30,66,446,166,37.2,14.87,5.53,0.13,0.35,,8,9
Al-Shabab,31,30,39,453,160,35.3,15.1,5.33,0.08,0.23,,3,4
